datetime,open,high,low,close,volume
2021-02-02,0.323301,0.3497,0.317,0.339861,313983720.01440847
2021-02-03,0.339859,0.349086,0.33,0.34692,243447450.01440617
2021-02-04,0.346926,0.35,0.315,0.326273,296143870.01441133
2021-02-05,0.326164,0.364,0.3255,0.3522,373486539.0144102
2021-02-06,0.352391,0.3985,0.337384,0.378093,397494658.0144122
2021-02-07,0.378412,0.423432,0.363528,0.385916,599679672.014417
2021-02-08,0.386074,0.404,0.3737,0.397073,256713752.0144073
2021-02-09,0.397312,0.406384,0.383501,0.400625,188315284.01440397
2021-02-10,0.400567,0.447418,0.382,0.41527,420820490.01441216
2021-02-11,0.414916,0.47,0.410959,0.456497,397869836.0144118
2021-02-12,0.456456,0.538453,0.4401,0.530464,477801001.0144098
2021-02-13,0.530388,0.608378,0.508213,0.565391,574719919.0144172
2021-02-14,0.565448,0.578391,0.497,0.516452,303201871.01440746
2021-02-15,0.516696,0.54,0.430159,0.494956,454261895.014417
2021-02-16,0.494923,0.517731,0.468,0.485408,222564503.0144047
2021-02-17,0.485389,0.51,0.456122,0.49771,189349856.01440388
2021-02-18,0.498015,0.516286,0.483001,0.497026,152236169.01440126
2021-02-19,0.496957,0.521834,0.483,0.513742,174475999.01440313
2021-02-20,0.513674,0.533359,0.464,0.48655,223643628.01440534
2021-02-21,0.48655,0.508234,0.475,0.496694,128942855.01439832
2021-02-22,0.49668,0.525,0.380014,0.463539,426039551.0144116
2021-02-23,0.463539,0.465,0.314,0.386654,628339076.0144125
2021-02-24,0.386758,0.4344,0.368,0.40546,304525128.01441234
2021-02-25,0.40578,0.42641,0.376985,0.381034,205725514.01440337
2021-02-26,0.381135,0.401713,0.355,0.400581,232069328.01440728
2021-02-27,0.400581,0.47,0.39852,0.43921,325255945.0144085
2021-02-28,0.43878,0.450595,0.380427,0.406449,222422144.01440975
2021-03-01,0.406521,0.4366,0.401,0.431169,170448978.01440215
2021-03-02,0.43117,0.436372,0.396925,0.41924,171413020.01440266
2021-03-03,0.419058,0.438484,0.412002,0.420967,134980843.01439866
2021-03-04,0.420737,0.427597,0.402398,0.411693,140684155.01439905
2021-03-05,0.411693,0.412685,0.385133,0.404766,126194308.0143982
2021-03-06,0.404926,0.4086,0.39231,0.401657,73127645.01439855
2021-03-07,0.401657,0.422247,0.401657,0.412659,96436554.01439835
2021-03-08,0.41275,0.421774,0.4032,0.418201,100776696.01438826
2021-03-09,0.418201,0.434975,0.413,0.432033,128206267.01439829
2021-03-10,0.43216,0.4335,0.40596,0.408923,120210585.01439825
2021-03-11,0.409203,0.413083,0.396,0.405555,104226838.01439835
2021-03-12,0.405494,0.407096,0.377902,0.386715,130337508.01439832
2021-03-13,0.386673,0.411824,0.3757,0.406694,163578399.01440197
2021-03-14,0.406694,0.408696,0.387777,0.388805,101947457.01439829
2021-03-15,0.388784,0.398931,0.367506,0.384177,134765190.01439855
2021-03-16,0.384226,0.411875,0.373337,0.395528,167858133.014404
2021-03-17,0.395827,0.405489,0.386909,0.402741,116504142.01439846
2021-03-18,0.402821,0.4082,0.393654,0.394393,105109332.01439838
2021-03-19,0.39454,0.402211,0.388,0.394877,104806409.0143984
2021-03-20,0.39502,0.438,0.392144,0.416148,214226232.01440385
2021-03-21,0.415957,0.423662,0.392468,0.403697,150274987.01439983
2021-03-22,0.40379,0.425,0.391173,0.392799,176585744.0144026
2021-03-23,0.3928,0.408615,0.387552,0.395285,114529271.01439825
2021-03-24,0.395067,0.403043,0.3505,0.361598,136405997.0143986
2021-03-25,0.3616,0.37054,0.342017,0.361703,201058114.01440695
2021-03-26,0.361698,0.386878,0.3606,0.3847,120029362.01439829
2021-03-27,0.3847,0.390265,0.369101,0.381955,90776703.01439835
2021-03-28,0.382,0.412087,0.37805,0.39743,158139761.01440316
2021-03-29,0.397471,0.4124,0.389971,0.404336,96664882.01439849
2021-03-30,0.404314,0.412744,0.398326,0.400995,76649846.01439866
2021-03-31,0.400949,0.406236,0.380127,0.405724,98119075.01439838
2021-04-01,0.405824,0.4294,0.4007,0.423954,143252767.01439932
2021-04-02,0.423993,0.46832,0.423993,0.439265,204023997.0144083
2021-04-03,0.439096,0.458358,0.40683,0.408545,139563370.0143994
2021-04-04,0.408498,0.434678,0.402603,0.428416,86423478.01439835
2021-04-05,0.428561,0.549,0.422049,0.536927,350454663.0144084
2021-04-06,0.537173,0.5775,0.48084,0.541866,309106424.0144099
2021-04-07,0.54206,0.546941,0.453587,0.490851,214264078.0144078
2021-04-08,0.490895,0.5051,0.46839,0.504916,128889390.01439841
2021-04-09,0.505094,0.508117,0.477,0.486019,109027516.01439841
2021-04-10,0.485954,0.59,0.481775,0.56162,361022285.014406
2021-04-11,0.561824,0.656225,0.554834,0.584536,511750739.01441574
2021-04-12,0.584078,0.607717,0.566098,0.590548,176114007.01440355
2021-04-13,0.590368,0.683894,0.576615,0.657434,361907738.014409
2021-04-14,0.657434,0.6908,0.592097,0.635436,324583400.01441056
2021-04-15,0.635394,0.65,0.614,0.640411,160379181.01440087
2021-04-16,0.640541,0.654,0.5681,0.610578,248652978.01440752
2021-04-17,0.610906,0.644,0.590437,0.592369,135517908.01439852
2021-04-18,0.592369,0.601401,0.459001,0.54604,386724455.01441574
2021-04-19,0.546182,0.566872,0.491276,0.50072,223717942.01440606
2021-04-20,0.500721,0.53121,0.469,0.529005,262644490.01441118
2021-04-21,0.528895,0.5387,0.485,0.489529,174157960.01440215
2021-04-22,0.48953,0.514384,0.446321,0.450491,247145907.0144046
2021-04-23,0.450739,0.458032,0.39,0.451038,356868724.0144152
2021-04-24,0.451037,0.461841,0.412744,0.426,151704351.01440156
2021-04-25,0.425999,0.444952,0.401117,0.416677,149608910.01440027
2021-04-26,0.416622,0.486526,0.414303,0.486158,220133735.01440546
2021-04-27,0.486032,0.522826,0.47653,0.510519,160738330.01438227
2021-04-28,0.510483,0.522,0.474037,0.497567,169113949.01440313
2021-04-29,0.497591,0.508846,0.476127,0.491866,117748873.01439835
2021-04-30,0.491852,0.540995,0.485227,0.53049,181148904.01440635
2021-05-01,0.530478,0.540574,0.512061,0.540574,100053581.01439849
2021-05-02,0.540575,0.560585,0.513,0.556265,139451035.01428908
2021-05-03,0.556378,0.573341,0.54,0.551257,157980735.01440144
2021-05-04,0.551016,0.551337,0.495461,0.502353,262061469.0144075
2021-05-05,0.502114,0.606468,0.497777,0.605517,359947733.01440823
2021-05-06,0.605481,0.6899,0.5959,0.651603,561175078.0144176
2021-05-07,0.651225,0.688341,0.60518,0.631555,316988631.0143693
2021-05-08,0.631263,0.64139,0.605468,0.615217,170603520.01440236
2021-05-09,0.615171,0.634161,0.576528,0.628938,255663596.01440734
2021-05-10,0.628758,0.78,0.616,0.6585,612791613.0144129
2021-05-11,0.658501,0.74182,0.62032,0.735656,397541187.01441103
2021-05-12,0.735882,0.738999,0.585002,0.59323,340015583.0144065
2021-05-13,0.59461,0.661111,0.55,0.653333,495191489.0144151
2021-05-14,0.653333,0.708397,0.635,0.668866,275285081.01439184
2021-05-15,0.669458,0.743792,0.65,0.681827,384338189.0144084
2021-05-16,0.682138,0.7978,0.659,0.711585,452902178.01441246
2021-05-17,0.71162,0.713873,0.623,0.643996,363480277.0144131
2021-05-18,0.643354,0.7,0.632709,0.64574,235737851.01440626
2021-05-19,0.64578,0.655941,0.3,0.456481,674517374.0144143
2021-05-20,0.456617,0.53491,0.421,0.496012,450360327.0144149
2021-05-21,0.496145,0.513205,0.3777,0.419433,449465858.01440865
2021-05-22,0.419445,0.422699,0.370194,0.389435,264289291.01441082
2021-05-23,0.389402,0.401527,0.274275,0.363589,406818825.0144089
2021-05-24,0.363806,0.450448,0.362,0.439715,495190159.0144163
2021-05-25,0.44,0.461491,0.406942,0.429421,339941109.0144134
2021-05-26,0.429401,0.47031,0.42098,0.443506,287624091.01440865
2021-05-27,0.443486,0.447255,0.410873,0.420715,215133353.01440784
2021-05-28,0.420691,0.426391,0.364131,0.399077,292373860.01440907
2021-05-29,0.399292,0.40968,0.343219,0.367176,270872437.01440716
2021-05-30,0.367469,0.399111,0.345872,0.374811,224306162.0144087
2021-05-31,0.374706,0.41,0.3655,0.402523,214060119.0144062
2021-06-01,0.402553,0.4489,0.383838,0.4183,258630998.01440695
2021-06-02,0.418467,0.435,0.404722,0.418808,128012872.01439829
2021-06-03,0.418698,0.43375,0.412654,0.425109,107762053.01439838
2021-06-04,0.425109,0.425109,0.369777,0.384782,151983436.01440114
2021-06-05,0.384825,0.406073,0.363572,0.375081,118475868.01439847
2021-06-06,0.374949,0.388665,0.371662,0.380354,67523775.01439852
2021-06-07,0.380354,0.392306,0.343143,0.346214,118132005.01439853
2021-06-08,0.34651,0.356819,0.310101,0.349576,173497149.0144052
2021-06-09,0.349441,0.365696,0.3245,0.365295,119537012.01439837
2021-06-10,0.365584,0.367661,0.33128,0.338657,82624624.01439857
2021-06-11,0.338767,0.343033,0.314012,0.318158,92041708.01439843
2021-06-12,0.318123,0.3437,0.3,0.328024,111205912.0143983
2021-06-13,0.327874,0.348657,0.310829,0.344918,89652973.01439838
2021-06-14,0.345005,0.35,0.32693,0.343333,102717451.01439846
2021-06-15,0.343308,0.351884,0.329801,0.333571,103652205.01439838
2021-06-16,0.333683,0.342117,0.314633,0.317628,104602759.01439856
2021-06-17,0.317489,0.33,0.31,0.317422,64855507.01439894
2021-06-18,0.317421,0.318551,0.284648,0.297465,98711023.01439872
2021-06-19,0.2975,0.306513,0.288601,0.288601,62303379.01439887
2021-06-20,0.288638,0.299077,0.269574,0.297516,96305428.01439874
2021-06-21,0.297505,0.3025,0.2353,0.235935,204935218.0144042
2021-06-22,0.236038,0.25931,0.198862,0.235466,288511220.014408
2021-06-23,0.235554,0.270099,0.22475,0.255743,162700553.01440334
2021-06-24,0.255725,0.273248,0.243074,0.268868,111634564.01439843
2021-06-25,0.268868,0.274288,0.240503,0.240923,110809546.01439832
2021-06-26,0.240809,0.249427,0.228291,0.249427,94320034.01439835
2021-06-27,0.24952,0.259816,0.239285,0.259796,104463165.01439837
2021-06-28,0.25972,0.269639,0.255766,0.263526,95245276.01439846
2021-06-29,0.263627,0.293799,0.262419,0.283073,130252079.01439853
2021-06-30,0.283072,0.286053,0.266081,0.284383,92031294.01439843
2021-07-01,0.284286,0.284594,0.259726,0.268953,93774538.01439846
2021-07-02,0.268901,0.2734,0.252202,0.262866,74739050.01439859
2021-07-03,0.263079,0.269962,0.259,0.263702,57004292.01439878
2021-07-04,0.263873,0.272202,0.258633,0.268087,52126804.01439886
2021-07-05,0.267872,0.267872,0.250851,0.253477,62163709.01439862
2021-07-06,0.253466,0.267966,0.252888,0.260526,72614731.01439859
2021-07-07,0.260396,0.265849,0.2556,0.256536,71845504.01439855
2021-07-08,0.256536,0.257743,0.239005,0.242763,98249083.01439838
2021-07-09,0.242926,0.249328,0.232526,0.245616,89006488.01439837
2021-07-10,0.245607,0.252873,0.238333,0.24493,51524406.01439853
2021-07-11,0.244894,0.247904,0.2403,0.245974,45502666.01439882
2021-07-12,0.246113,0.252232,0.236064,0.238317,63972861.01439862
2021-07-13,0.238275,0.242223,0.227,0.232207,71964357.01439862
2021-07-14,0.232172,0.244858,0.219433,0.24,90063460.01439843
2021-07-15,0.24,0.243307,0.226106,0.240869,81195079.01439843
2021-07-16,0.240869,0.257849,0.233,0.235094,151651952.0144006
2021-07-17,0.235265,0.238429,0.227724,0.232599,79443333.01439832
2021-07-18,0.232639,0.240565,0.226501,0.229785,53443062.01439882
2021-07-19,0.229868,0.231192,0.210729,0.211191,84552327.01438877
2021-07-20,0.211452,0.215424,0.199,0.212026,124133435.0143983
2021-07-21,0.212026,0.229935,0.206826,0.228246,103188839.01439835
2021-07-22,0.22825,0.268,0.223809,0.263552,201532250.01440647
2021-07-23,0.263674,0.277777,0.248679,0.269389,144626299.01439935
2021-07-24,0.269263,0.272532,0.260837,0.267048,98730573.0143984
2021-07-25,0.267174,0.2676,0.253712,0.261817,80336260.01439837
2021-07-26,0.26182,0.28456,0.256602,0.260481,179569879.01440302
2021-07-27,0.260482,0.270299,0.251241,0.263057,117406182.01439838
2021-07-28,0.263005,0.281633,0.2582,0.270068,156408412.0144015
2021-07-29,0.270066,0.274974,0.261776,0.272306,85013254.01439856
2021-07-30,0.272375,0.285057,0.262444,0.279823,116335115.01439825
2021-07-31,0.279776,0.289951,0.273255,0.284683,102457325.01439832
2021-08-01,0.28467,0.30114,0.27276,0.2751,138411049.0143987
2021-08-02,0.275177,0.286353,0.268584,0.274201,124407863.0143983
2021-08-03,0.27408,0.278933,0.264286,0.274235,92777700.01439846
2021-08-04,0.274321,0.284,0.265009,0.280608,113584355.01439841
2021-08-05,0.280579,0.282921,0.265346,0.280404,139782722.014399
2021-08-06,0.280404,0.28631,0.27443,0.285246,134363641.0143984
2021-08-07,0.285364,0.31184,0.281861,0.307664,161672428.01440248
2021-08-08,0.307673,0.3135,0.285699,0.287263,110706798.01439826
2021-08-09,0.287263,0.30586,0.28,0.298499,117489924.01439853
2021-08-10,0.298499,0.31487,0.295301,0.310046,138110638.01439956
2021-08-11,0.310044,0.352541,0.309466,0.337281,198637909.01440334
2021-08-12,0.337282,0.3531,0.315001,0.328565,190570234.01440635
2021-08-13,0.328733,0.365,0.323682,0.360013,173045276.01440504
2021-08-14,0.359998,0.3998,0.351218,0.395267,182778174.01440275
2021-08-15,0.395007,0.403382,0.370317,0.391249,138829520.0143993
2021-08-16,0.391109,0.41,0.37,0.371622,167128843.01440284
2021-08-17,0.371627,0.3839,0.339448,0.341149,164219232.01440135
2021-08-18,0.341149,0.359439,0.324879,0.341834,172643398.01440248
2021-08-19,0.341622,0.368177,0.332,0.366972,140211340.01439878
2021-08-20,0.367,0.387477,0.36,0.385127,125501762.01439841
2021-08-21,0.385061,0.385061,0.368,0.371821,77697079.01439846
2021-08-22,0.371814,0.389457,0.361428,0.372746,99618964.01439866
2021-08-23,0.372567,0.387795,0.370147,0.379048,106458810.01439837
2021-08-24,0.378793,0.380604,0.350214,0.35045,110490627.01439853
2021-08-25,0.350233,0.359797,0.341578,0.358815,136142582.01439896
2021-08-26,0.358823,0.363473,0.331032,0.335194,139477465.01439887
